review_priority_rank,exercise_id,review_status,score,candidate_image_count,candidate_flags
440,Rocking_Standing_Calf_Raise,pending,65.0,8,"['near_duplicate_frames', 'small_canvas_occupancy']"
441,Single-Arm_Linear_Jammer,pending,65.0,8,"['near_duplicate_frames', 'possible_precropped_flat_boundary', 'small_canvas_occupancy']"
442,Wrist_Circles,pending,61.922607,6,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
443,Snatch_Shrug,pending,61.055908,2,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
444,Reverse_Grip_Triceps_Pushdown,pending,60.976562,4,"['near_duplicate_frames', 'possible_precropped_flat_boundary', 'possible_scale_variation']"
445,Bodyweight_Flyes,pending,60.744629,0,"['possible_position_variation', 'possible_scale_variation']"
446,Shoulder_Raise,pending,60.634766,2,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
447,Low_Pulley_Row_To_Neck,pending,60.622559,5,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
448,Lying_Supine_Dumbbell_Curl,pending,60.579834,0,"['possible_position_variation', 'possible_scale_variation']"
449,Squat_Jerk,pending,60.55542,5,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
450,Chest_Push_multiple_response,pending,60.537109,7,"['possible_position_variation', 'possible_precropped_flat_boundary']"
451,Dumbbell_One-Arm_Upright_Row,pending,60.512695,1,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
452,Seated_Dumbbell_Palms-Up_Wrist_Curl,pending,60.500488,4,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
453,Wide_Stance_Barbell_Squat,pending,60.500488,6,"['possible_position_variation', 'possible_precropped_flat_boundary']"
454,Side_Neck_Stretch,pending,60.494385,3,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
455,Weighted_Sit-Ups_-_With_Bands,pending,60.488281,3,"['possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation']"
456,Kneeling_Forearm_Stretch,pending,60.421143,0,"['possible_position_variation', 'possible_scale_variation']"
457,Straight_Raises_on_Incline_Bench,pending,60.378418,2,"['possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation']"
458,Lunge_Sprint,pending,60.366211,2,"['possible_position_variation', 'possible_precropped_flat_boundary']"
459,Bodyweight_Walking_Lunge,pending,60.360107,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
460,Sumo_Deadlift_with_Bands,pending,60.3479,1,"['possible_position_variation', 'possible_precropped_flat_boundary']"
461,Kettlebell_Dead_Clean,pending,60.341797,0,"['near_duplicate_frames', 'possible_position_variation']"
462,Pullups,pending,60.341797,6,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
463,Moving_Claw_Series,pending,60.32959,2,"['possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation']"
464,Single_Leg_Push-off,pending,60.311279,2,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
465,Scapular_Pull-Up,pending,60.305176,8,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
466,Band_Good_Morning_Pull_Through,pending,60.299072,0,"['near_duplicate_frames', 'possible_scale_variation']"
467,Standing_Dumbbell_Reverse_Curl,pending,60.299072,1,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
468,Oblique_Crunches_-_On_The_Floor,pending,60.292969,6,"['possible_position_variation', 'possible_precropped_flat_boundary', 'possible_scale_variation']"
469,Push-Up_Wide,pending,60.292969,0,"['possible_position_variation', 'possible_scale_variation']"
470,Air_Bike,pending,60.286865,6,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
471,Alternate_Heel_Touchers,pending,60.286865,6,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
472,Olympic_Squat,pending,60.250244,0,"['possible_position_variation', 'possible_scale_variation']"
473,Front_Squats_With_Two_Kettlebells,pending,60.244141,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
474,Barbell_Shrug,pending,60.238037,2,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
475,Standing_Hip_Flexors,pending,60.201416,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
476,Atlas_Stones,pending,60.189209,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
477,Axle_Deadlift,pending,60.189209,0,"['possible_position_variation', 'possible_scale_variation']"
478,Clean_Deadlift,pending,60.189209,0,"['near_duplicate_frames', 'possible_position_variation']"
479,Hamstring_Stretch,pending,60.140381,0,"['possible_position_variation', 'possible_scale_variation']"
480,Deadlift_with_Chains,pending,60.134277,0,"['possible_position_variation', 'possible_scale_variation']"
481,Kettlebell_Pistol_Squat,pending,60.134277,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
482,Standing_Low-Pulley_One-Arm_Triceps_Extension,pending,60.12207,2,"['near_duplicate_frames', 'possible_precropped_flat_boundary']"
483,Push_Press,pending,60.109863,1,"['possible_precropped_flat_boundary', 'possible_scale_variation']"
